file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume.html,53,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,70
resume.html,54,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,76
resume.html,55,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,4
resume.html,56,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,9
resume.html,57,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,8
resume.html,58,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,53
resume.html,59,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,3
resume.html,60,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,71
resume.html,61,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,54
resume.html,62,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,4
resume.html,63,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,9
resume.html,64,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,8
resume.html,65,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,45
resume.html,66,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,3
resume.html,67,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,70
resume.html,68,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,57
resume.html,69,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,4
resume.html,70,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,9
resume.html,71,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,8
resume.html,72,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,56
resume.html,73,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,3
resume.html,74,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,67
resume.html,75,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,60
resume.html,76,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,4
resume.html,77,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,9
resume.html,78,html,240c10a5,Arcilios,2025-04-02,21:37:05,-07:00,2025-04-02T21:37:05-07:00,0,9
resume.html,79,html,28b0206d,Arcilios,2025-04-11,19:47:22,-07:00,2025-04-11T19:47:22-07:00,0,6
index.js,1,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,55
index.js,2,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,3,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,22
index.js,4,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,53
index.js,5,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,58
index.js,6,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,67
index.js,7,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,59
index.js,8,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,9,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,10,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,6
index.js,11,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,83
index.js,12,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,33
index.js,13,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,14,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,47
index.js,15,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,4
index.js,16,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,31
index.js,17,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,29
index.js,18,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,50
index.js,19,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,20,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,23
index.js,21,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,46
index.js,22,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,6
index.js,23,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,24,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,0
index.js,25,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,44
index.js,26,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,24
index.js,27,js,91478917,Arcilios,2025-04-25,20:16:01,-07:00,2025-04-25T20:16:01-07:00,0,40
